drafted,used_weeks,adp,advancing,player_name,position,sleeper_id,team,avg_used_weeks,advance_rate
30,2,210.2,3,John Ross,WR,4038,PHI,0.07,0.1
56056,242251,75.3,7296,Jaxon Smith-Njigba,WR,9488,SEA,4.32,0.13
46726,56027,191.8,5616,Drake Maye,QB,11564,NE,1.2,0.12
2,0,169.0,0,TJ Tampa,WR,11730,BAL,0.0,0.0
56056,313453,71.7,10186,Brian Thomas,WR,11631,JAX,5.59,0.182
5199,5318,207.3,612,Hayden Hurst,TE,4973,LAC,1.02,0.118
1,0,199.0,0,Kevin Thomson,QB,not_a_player,,0.0,0.0
1,0,162.0,0,D.J. Montgomery,WR,6453,IND,0.0,0.0
56056,321596,48.1,9954,Josh Jacobs,RB,5850,GB,5.74,0.178
1,0,154.0,0,Peyton Ramsey,QB,not_a_player,,0.0,0.0
4,0,197.2,1,Matt Breida,RB,4455,,0.0,0.25
56056,214388,42.1,5902,Travis Etienne Jr.,RB,7543,JAX,3.82,0.105
56056,218329,41.9,12845,Tee Higgins,WR,6801,CIN,3.89,0.229
2,0,200.5,0,Jordan Leggett,TE,4153,,0.0,0.0
1,0,78.0,0,Deven Thompkins,WR,8253,CAR,0.0,0.0
9,17,188.4,1,AJ Barner,TE,11603,SEA,1.89,0.111
158,0,207.9,14,Chris Rodriguez,RB,10219,WAS,0.0,0.089
125,255,208.2,20,Ty Johnson,RB,6039,BUF,2.04,0.16
1,0,214.0,0,Daijun Edwards,RB,11857,,0.0,0.0
11,0,189.8,0,Kenny Pickett,QB,8160,PHI,0.0,0.0
56056,198829,84.8,8357,Jake Ferguson,TE,8110,DAL,3.55,0.149
31,90,200.9,5,Johnny Mundt,TE,4314,MIN,2.9,0.161
20,0,209.8,3,Nick Mullens,QB,4464,MIN,0.0,0.15
157,254,208.6,15,Josh Whyle,TE,10212,TEN,1.62,0.096
97,164,207.5,9,Mo Alie-Cox,TE,4054,IND,1.69,0.093
46256,0,176.1,6346,Roman Wilson,WR,11630,PIT,0.0,0.137
56056,35078,122.8,5616,Tua Tagovailoa,QB,6768,MIA,0.63,0.1
3,0,208.3,1,Mitchell Trubisky,QB,3976,BUF,0.0,0.333
2,0,212.5,0,Jalen Cropper,WR,11506,DAL,0.0,0.0
1,0,186.0,0,Jalen Berger,RB,not_a_player,,0.0,0.0
56056,44398,127.6,8138,Nick Chubb,RB,4988,CLE,0.79,0.145
108,145,207.7,11,Emari Demercado,RB,11199,ARI,1.34,0.102
24359,0,194.1,4247,J.J. McCarthy,QB,11565,MIN,0.0,0.174
56056,60581,135.8,6956,Ja'Lynn Polk,WR,11619,NE,1.08,0.124
60,0,207.6,7,Isaiah Spiller,RB,8153,,0.0,0.117
1497,526,209.1,189,Daniel Bellinger,TE,8225,NYG,0.35,0.126
1,0,194.0,0,Salvon Ahmed,RB,6918,IND,0.0,0.0
2,4,209.0,0,Dare Ogunbowale,RB,4718,HOU,2.0,0.0
689,88,206.9,83,Sione Vaki,RB,11729,DET,0.13,0.12
56052,212638,162.6,10390,Hunter Henry,TE,3214,NE,3.79,0.185
56056,144273,26.2,8600,Cooper Kupp,WR,4039,LAR,2.57,0.153
55994,303877,170.9,10562,Wan'Dale Robinson,WR,8126,NYG,5.43,0.189
56056,198770,94.0,9874,Courtland Sutton,WR,5045,DEN,3.55,0.176
